  Item_Name     Price     No_Items   Total_Price
BREAD 100 100 10000
WATER 50 96 4800
BEEF 400 96 38400
GAVA 300 96 28800
TEA 80 97 7760
CAKE 400 98 39200
COKE 100 99 9900
RICE 200 99 19800
MILK 150 99 14850
PISTA 250 99 24750
CHOCOLATE 50 99 4950
LOLYPOP 30 99 2970
ZINGER 200 99 19800
JUICE 80 99 7920
STING 100 99 9900
PASTA 200 99 19800
CHIPS 150 99 14850
MANGO 40 100 4000
SAMOSA 40 100 4000
GRAPES 200 100 20000
DATES 200 100 20000
RIO 40 100 4000
BANANA 20 100 2000
APPLE 25 100 2500
MACRONI 150 100 15000
BIRYANI 300 100 30000
COFFEE 100 100 10000
CANDY 50 100 5000
PIZZA 200 799 159800
SUPERCRISP 100 1000 100000
BUBBLE 20 100 2000
